timestamp;recovery_value;stress_value
2026-07-03T05:02:25.000Z;;1
2026-07-03T05:07:59.000Z;;30
2026-07-03T05:11:07.000Z;;53
2026-07-03T05:15:42.000Z;10;
2026-07-03T05:18:00.000Z;52;
2026-07-03T05:24:08.000Z;;25
2026-07-03T05:28:41.000Z;;30
2026-07-03T05:36:07.000Z;;1
2026-07-03T05:41:03.000Z;;30
2026-07-03T05:43:36.000Z;;30
2026-07-03T05:48:59.000Z;;16
2026-07-03T05:55:15.000Z;;62
2026-07-03T05:59:21.000Z;;6
2026-07-03T06:04:37.000Z;10;
2026-07-03T06:10:29.000Z;16;
2026-07-03T06:17:12.000Z;;16
2026-07-03T06:26:19.000Z;;16
2026-07-03T06:30:58.000Z;;35
2026-07-03T06:36:33.000Z;;1
2026-07-03T06:40:52.000Z;;53
2026-07-03T06:46:49.000Z;;30
2026-07-03T06:52:40.000Z;;56
2026-07-03T06:57:27.000Z;;35
2026-07-03T07:03:38.000Z;;25
2026-07-03T07:08:12.000Z;16;
2026-07-03T07:13:57.000Z;;1
2026-07-03T07:19:00.000Z;;11
2026-07-03T07:28:02.000Z;;11
2026-07-03T07:38:08.000Z;;49
2026-07-03T07:47:38.000Z;;11
2026-07-03T07:57:31.000Z;;40
2026-07-03T08:07:38.000Z;10;
2026-07-03T08:14:22.000Z;;30
2026-07-03T08:19:46.000Z;29;
2026-07-03T08:25:41.000Z;;30
2026-07-03T08:31:39.000Z;;30
2026-07-03T08:36:37.000Z;41;
2026-07-03T08:44:50.000Z;;25
2026-07-03T08:49:58.000Z;;69
2026-07-03T08:55:22.000Z;;44
2026-07-03T09:01:00.000Z;10;
2026-07-03T09:06:10.000Z;;53
2026-07-03T09:10:57.000Z;47;
2026-07-03T09:16:37.000Z;10;
2026-07-03T09:22:02.000Z;;30
2026-07-03T09:27:11.000Z;56;
2026-07-03T09:29:39.000Z;;11
2026-07-03T09:34:19.000Z;52;
2026-07-03T09:37:37.000Z;29;
2026-07-03T09:41:47.000Z;35;
2026-07-03T09:47:51.000Z;;11
2026-07-03T09:52:44.000Z;;11
2026-07-03T09:57:36.000Z;52;
2026-07-03T10:02:52.000Z;;6
2026-07-03T10:05:20.000Z;56;
2026-07-03T10:10:38.000Z;;1
2026-07-03T10:15:52.000Z;;30
2026-07-03T10:21:33.000Z;;44
2026-07-03T10:25:56.000Z;41;
2026-07-03T10:31:04.000Z;47;
2026-07-03T10:39:21.000Z;;1
2026-07-03T10:44:58.000Z;47;
2026-07-03T10:51:18.000Z;;53
2026-07-03T10:55:41.000Z;4;
2026-07-03T11:00:59.000Z;;16
2026-07-03T11:05:53.000Z;52;
2026-07-03T11:08:25.000Z;61;
2026-07-03T11:14:15.000Z;;11
2026-07-03T11:18:48.000Z;;30
2026-07-03T11:24:00.000Z;4;
2026-07-03T11:31:09.000Z;;44
2026-07-03T11:39:40.000Z;;100
2026-07-03T11:57:44.000Z;;100
2026-07-03T12:02:44.000Z;;100
2026-07-03T12:07:44.000Z;;100
2026-07-03T12:12:44.000Z;;100
2026-07-03T12:17:44.000Z;;100
2026-07-03T12:22:44.000Z;;100
2026-07-03T12:27:46.000Z;;100
2026-07-03T12:32:46.000Z;;100
2026-07-03T12:37:46.000Z;;100
2026-07-03T12:42:46.000Z;;91
2026-07-03T12:47:46.000Z;;85
2026-07-03T12:52:46.000Z;;100
2026-07-03T12:57:45.000Z;;65
2026-07-03T13:02:45.000Z;;100
2026-07-03T13:07:45.000Z;;49
2026-07-03T13:12:45.000Z;;44
2026-07-03T13:17:45.000Z;;97
2026-07-03T13:32:46.000Z;;100
2026-07-03T13:37:46.000Z;;100
2026-07-03T13:42:46.000Z;;100
2026-07-03T13:47:46.000Z;;100
2026-07-03T13:52:46.000Z;;100
2026-07-03T13:57:45.000Z;;65
2026-07-03T14:02:45.000Z;10;
2026-07-03T14:07:45.000Z;4;
2026-07-03T14:12:45.000Z;16;
2026-07-03T14:17:45.000Z;10;
2026-07-03T14:22:45.000Z;4;
2026-07-03T14:27:46.000Z;;100
2026-07-03T14:32:46.000Z;;100
2026-07-03T14:37:46.000Z;;100
2026-07-03T14:42:46.000Z;;40
2026-07-03T14:47:46.000Z;;100
2026-07-03T14:52:46.000Z;;72
2026-07-03T14:57:44.000Z;;35
2026-07-03T15:02:44.000Z;;65
2026-07-03T15:07:44.000Z;;1
2026-07-03T15:12:44.000Z;;25
2026-07-03T15:17:44.000Z;;97
2026-07-03T15:22:44.000Z;;49
2026-07-03T15:27:45.000Z;;62
2026-07-03T15:32:45.000Z;;16
2026-07-03T15:37:45.000Z;;35
2026-07-03T15:42:45.000Z;;49
2026-07-03T15:47:45.000Z;;49
2026-07-03T15:52:45.000Z;10;
2026-07-03T15:57:47.000Z;22;
2026-07-03T16:02:47.000Z;16;
2026-07-03T16:07:47.000Z;29;
2026-07-03T16:12:47.000Z;;81
2026-07-03T16:17:47.000Z;;62
2026-07-03T16:22:47.000Z;;100
2026-07-03T16:27:30.000Z;;94
2026-07-03T16:32:30.000Z;;100
2026-07-03T16:50:18.000Z;;100
2026-07-03T16:57:26.000Z;;56
2026-07-03T17:07:15.000Z;;69
2026-07-03T17:18:06.000Z;;53
2026-07-03T17:41:27.000Z;;100
2026-07-03T17:45:59.000Z;;6
2026-07-03T17:48:38.000Z;35;
2026-07-03T17:53:31.000Z;94;
2026-07-03T17:55:34.000Z;41;
2026-07-03T18:00:38.000Z;;65
2026-07-03T18:09:08.000Z;;56
2026-07-03T18:18:45.000Z;52;
2026-07-03T18:27:25.000Z;22;
2026-07-03T18:32:18.000Z;;62
2026-07-03T18:38:00.000Z;;81
2026-07-03T18:43:06.000Z;41;
2026-07-03T18:49:44.000Z;;25
2026-07-03T19:10:35.000Z;47;
2026-07-03T19:15:13.000Z;41;
2026-07-03T19:20:56.000Z;10;
2026-07-03T19:27:14.000Z;;1
2026-07-03T19:37:19.000Z;;6
2026-07-03T20:07:10.000Z;61;
2026-07-03T20:09:47.000Z;98;
2026-07-03T20:12:24.000Z;73;
2026-07-03T20:17:19.000Z;47;
2026-07-03T20:22:58.000Z;41;
2026-07-03T20:25:24.000Z;;56
2026-07-03T20:27:46.000Z;65;
2026-07-03T20:33:09.000Z;22;
2026-07-03T20:38:28.000Z;35;
2026-07-03T20:43:36.000Z;29;
2026-07-03T20:46:27.000Z;10;
2026-07-03T20:52:37.000Z;;11
2026-07-03T20:57:02.000Z;;20
2026-07-03T21:05:43.000Z;29;
2026-07-03T21:10:53.000Z;22;
2026-07-03T21:16:16.000Z;;20
2026-07-03T21:21:18.000Z;22;
2026-07-03T21:26:31.000Z;4;
2026-07-03T21:32:09.000Z;16;
