timestamp;charging;in_charger;level
2026-06-27T23:24:37.700Z;False;False;73
2026-06-27T23:25:39.100Z;False;False;73
2026-06-27T23:27:01.500Z;False;False;72
2026-06-27T23:31:16.100Z;False;False;71
2026-06-28T00:31:18.400Z;False;False;71
2026-06-28T00:41:20.500Z;False;False;70
2026-06-28T01:41:19.500Z;False;False;70
2026-06-28T02:31:18.200Z;False;False;69
2026-06-28T03:31:16.100Z;False;False;69
2026-06-28T04:21:21.200Z;False;False;68
2026-06-28T05:31:18.600Z;False;False;68
2026-06-28T06:11:20.300Z;False;False;67
2026-06-28T07:21:20.300Z;False;False;67
2026-06-28T07:51:18.900Z;False;False;66
2026-06-28T08:51:21.000Z;False;False;66
2026-06-28T09:21:19.800Z;False;False;65
2026-06-28T10:31:19.800Z;False;False;65
2026-06-28T11:11:18.800Z;False;False;64
2026-06-28T12:11:20.900Z;False;False;64
2026-06-28T13:21:21.100Z;False;False;63
2026-06-28T14:31:21.600Z;False;False;63
2026-06-28T15:31:22.300Z;False;False;62
2026-06-28T16:41:21.200Z;False;False;62
2026-06-28T17:41:20.900Z;False;False;62
2026-06-28T18:21:21.200Z;False;False;61
2026-06-28T19:21:21.500Z;False;False;61
2026-06-28T20:21:22.900Z;False;False;61
2026-06-28T21:21:23.400Z;False;False;61
2026-06-28T21:31:21.600Z;False;False;60
2026-06-28T22:31:22.000Z;False;False;60
2026-06-28T23:31:22.600Z;False;False;60
2026-06-29T00:41:21.700Z;False;False;59
2026-06-29T01:41:23.500Z;False;False;59
2026-06-29T02:11:03.800Z;True;False;59
2026-06-29T02:12:05.200Z;True;True;60
2026-06-29T02:13:05.300Z;True;True;63
2026-06-29T02:14:05.300Z;True;True;65
2026-06-29T02:15:05.400Z;True;True;67
2026-06-29T02:16:05.400Z;True;True;69
2026-06-29T02:17:05.500Z;True;True;72
2026-06-29T02:18:05.500Z;True;True;73
2026-06-29T02:19:05.600Z;True;True;74
2026-06-29T02:21:00.700Z;True;True;75
2026-06-29T02:23:00.700Z;True;True;76
2026-06-29T02:24:50.800Z;True;True;77
2026-06-29T02:26:55.900Z;True;True;78
2026-06-29T02:28:35.900Z;True;True;79
2026-06-29T02:30:21.000Z;True;True;80
2026-06-29T02:32:01.100Z;True;True;81
2026-06-29T02:33:26.100Z;True;True;82
2026-06-29T02:34:56.200Z;True;True;83
2026-06-29T02:36:21.300Z;True;True;84
2026-06-29T02:37:41.300Z;True;True;85
2026-06-29T02:39:03.900Z;True;True;86
2026-06-29T02:40:18.900Z;True;True;87
2026-06-29T02:41:49.300Z;True;True;88
2026-06-29T02:43:04.300Z;True;True;89
2026-06-29T02:44:04.400Z;True;True;90
2026-06-29T02:45:24.400Z;True;True;91
2026-06-29T02:46:54.500Z;True;True;92
2026-06-29T02:48:04.500Z;True;True;93
2026-06-29T02:49:19.600Z;True;True;94
2026-06-29T02:50:29.600Z;True;True;95
2026-06-29T02:52:24.700Z;True;True;96
2026-06-29T02:55:14.800Z;True;True;97
2026-06-29T02:59:36.100Z;False;True;100
2026-06-29T03:59:36.800Z;False;True;100
2026-06-29T04:59:36.800Z;False;True;100
2026-06-29T05:13:14.500Z;False;False;100
2026-06-29T06:13:14.800Z;False;False;100
2026-06-29T07:13:19.500Z;False;False;100
2026-06-29T07:23:20.100Z;False;False;99
2026-06-29T08:33:20.100Z;False;False;99
2026-06-29T09:43:20.100Z;False;False;99
2026-06-29T10:13:18.800Z;False;False;98
2026-06-29T11:13:20.800Z;False;False;98
2026-06-29T12:23:20.900Z;False;False;98
2026-06-29T13:03:20.100Z;False;False;97
2026-06-29T14:13:19.900Z;False;False;97
2026-06-29T15:13:22.200Z;False;False;97
2026-06-29T16:03:23.000Z;False;False;96
2026-06-29T17:13:20.800Z;False;False;96
2026-06-29T18:13:21.700Z;False;False;96
2026-06-29T18:53:21.600Z;False;False;95
2026-06-29T19:53:22.300Z;False;False;95
2026-06-29T20:53:23.600Z;False;False;95
2026-06-29T21:33:24.100Z;False;False;94
2026-06-29T22:43:21.500Z;False;False;94
2026-06-29T23:43:22.900Z;False;False;94
2026-06-30T00:13:22.400Z;False;False;93
2026-06-30T01:13:22.800Z;False;False;93
2026-06-30T02:13:21.300Z;False;False;93
2026-06-30T03:13:23.600Z;False;False;92
2026-06-30T03:21:19.700Z;True;False;92
2026-06-30T03:22:21.300Z;True;True;93
2026-06-30T03:23:21.400Z;True;True;94
2026-06-30T03:24:21.500Z;True;True;95
2026-06-30T03:25:21.500Z;True;True;96
2026-06-30T03:26:21.600Z;True;True;97
2026-06-30T03:27:26.700Z;True;True;98
2026-06-30T03:29:21.800Z;True;True;99
2026-06-30T03:33:32.200Z;False;True;100
2026-06-30T03:54:39.900Z;False;False;100
2026-06-30T04:54:40.000Z;False;False;100
2026-06-30T05:54:44.700Z;False;False;100
2026-06-30T07:04:44.800Z;False;False;100
2026-06-30T07:34:46.100Z;False;False;99
2026-06-30T08:44:45.900Z;False;False;99
2026-06-30T09:54:46.000Z;False;False;99
2026-06-30T10:14:46.900Z;False;False;98
2026-06-30T11:24:44.500Z;False;False;98
2026-06-30T12:34:45.100Z;False;False;97
2026-06-30T13:44:46.900Z;False;False;97
2026-06-30T14:44:47.600Z;False;False;97
2026-06-30T15:34:49.200Z;False;False;96
2026-06-30T16:44:47.000Z;False;False;96
2026-06-30T17:44:48.700Z;False;False;96
2026-06-30T18:34:48.300Z;False;False;95
2026-06-30T19:34:48.400Z;False;False;95
2026-06-30T20:44:47.500Z;False;False;95
2026-06-30T21:04:48.800Z;False;False;94
2026-06-30T21:11:11.900Z;True;False;94
2026-06-30T21:12:14.300Z;True;True;95
2026-06-30T21:13:14.400Z;True;True;96
2026-06-30T21:14:14.400Z;True;True;97
2026-06-30T21:15:17.000Z;True;True;98
2026-06-30T21:16:17.100Z;True;True;99
2026-06-30T21:17:42.200Z;True;True;98
2026-06-30T21:18:42.100Z;True;True;99
2026-06-30T21:21:52.500Z;False;True;100
2026-06-30T21:43:10.200Z;False;False;100
2026-06-30T22:43:14.400Z;False;False;100
2026-06-30T23:43:18.500Z;False;False;100
2026-06-30T23:53:17.600Z;False;False;99
2026-07-01T00:53:19.400Z;False;False;99
2026-07-01T02:03:18.400Z;False;False;99
2026-07-01T02:33:20.300Z;False;False;98
2026-07-01T03:43:19.700Z;False;False;98
2026-07-01T04:38:08.700Z;True;False;98
2026-07-01T04:39:40.100Z;True;True;99
2026-07-01T04:44:00.400Z;False;True;100
2026-07-01T05:02:01.500Z;False;False;100
2026-07-01T06:02:03.500Z;False;False;100
2026-07-01T07:02:10.800Z;False;False;100
2026-07-01T08:12:08.400Z;False;False;100
2026-07-01T08:22:09.000Z;False;False;99
2026-07-01T09:32:09.000Z;False;False;99
2026-07-01T10:42:09.100Z;False;False;99
2026-07-01T11:02:10.000Z;False;False;98
2026-07-01T12:12:10.000Z;False;False;98
2026-07-01T13:22:10.300Z;False;False;98
2026-07-01T13:32:09.400Z;False;False;97
2026-07-01T14:32:10.700Z;False;False;97
2026-07-01T15:32:11.700Z;False;False;97
2026-07-01T16:32:12.400Z;False;False;97
2026-07-01T16:42:12.500Z;False;False;96
2026-07-01T17:42:12.300Z;False;False;96
2026-07-01T18:52:10.700Z;False;False;96
2026-07-01T19:52:11.800Z;False;False;95
2026-07-01T20:52:11.900Z;False;False;95
2026-07-01T21:52:11.800Z;False;False;95
2026-07-01T23:02:11.400Z;False;False;94
2026-07-02T00:02:11.600Z;False;False;94
2026-07-02T01:02:12.300Z;False;False;94
2026-07-02T01:52:14.100Z;False;False;93
2026-07-02T03:02:11.700Z;False;False;93
2026-07-02T04:02:13.400Z;False;False;93
2026-07-02T04:32:12.900Z;False;False;92
2026-07-02T04:32:15.800Z;True;False;92
2026-07-02T04:32:18.900Z;False;False;92
2026-07-02T05:32:13.600Z;False;False;92
2026-07-02T06:32:18.300Z;False;False;92
2026-07-02T07:02:17.100Z;False;False;91
2026-07-02T08:12:17.000Z;False;False;91
2026-07-02T09:22:17.200Z;False;False;91
2026-07-02T09:52:18.500Z;False;False;90
2026-07-02T11:02:18.500Z;False;False;90
2026-07-02T12:12:18.700Z;False;False;90
2026-07-02T13:02:18.200Z;False;False;89
2026-07-02T14:02:25.100Z;False;False;89
2026-07-02T15:12:24.100Z;False;False;89
2026-07-02T16:02:24.300Z;False;False;88
2026-07-02T17:02:24.400Z;False;False;88
2026-07-02T18:12:23.800Z;False;False;88
2026-07-02T19:12:23.700Z;False;False;88
2026-07-02T19:22:24.400Z;False;False;87
2026-07-02T20:22:24.000Z;False;False;87
2026-07-02T21:32:23.900Z;False;False;87
2026-07-02T22:32:24.700Z;False;False;86
2026-07-02T23:32:25.400Z;False;False;86
2026-07-03T00:32:26.100Z;False;False;86
2026-07-03T01:00:44.100Z;True;False;86
2026-07-03T01:01:55.600Z;True;True;87
2026-07-03T01:03:00.600Z;True;True;88
2026-07-03T01:04:00.600Z;True;True;89
2026-07-03T01:05:10.700Z;True;True;90
2026-07-03T01:06:20.700Z;True;True;91
2026-07-03T01:07:20.700Z;True;True;90
