timestamp;bpm;source
2026-06-27T23:35:46.000Z;76;awake
2026-06-27T23:35:58.000Z;80;awake
2026-06-27T23:36:16.000Z;85;awake
2026-06-27T23:41:47.000Z;78;awake
2026-06-27T23:42:20.000Z;82;awake
2026-06-27T23:42:34.000Z;85;awake
2026-06-27T23:46:17.000Z;80;awake
2026-06-27T23:46:32.000Z;76;awake
2026-06-27T23:46:50.000Z;74;awake
2026-06-27T23:52:24.000Z;76;awake
2026-06-27T23:53:25.000Z;78;awake
2026-06-27T23:53:26.000Z;80;awake
2026-06-27T23:57:04.000Z;81;awake
2026-06-27T23:57:31.000Z;83;awake
2026-06-27T23:58:31.000Z;78;awake
2026-06-28T00:02:17.000Z;80;awake
2026-06-28T00:02:32.000Z;77;awake
2026-06-28T00:02:46.000Z;75;awake
2026-06-28T00:12:31.000Z;75;awake
2026-06-28T00:12:55.000Z;79;awake
2026-06-28T00:13:00.000Z;77;awake
2026-06-28T00:20:22.000Z;75;awake
2026-06-28T00:20:52.000Z;72;awake
2026-06-28T00:21:28.000Z;78;awake
2026-06-28T00:30:16.000Z;72;awake
2026-06-28T00:30:20.000Z;75;awake
2026-06-28T00:30:21.000Z;78;awake
2026-06-28T00:37:22.000Z;71;awake
2026-06-28T00:37:40.000Z;76;awake
2026-06-28T00:37:50.000Z;73;awake
2026-06-28T00:42:59.000Z;75;awake
2026-06-28T00:43:10.000Z;85;awake
2026-06-28T00:43:34.000Z;89;awake
2026-06-28T00:53:03.000Z;72;awake
2026-06-28T00:53:12.000Z;75;awake
2026-06-28T00:53:25.000Z;73;awake
2026-06-28T00:59:32.000Z;77;awake
2026-06-28T00:59:39.000Z;74;awake
2026-06-28T01:00:31.000Z;71;awake
2026-06-28T01:04:29.000Z;73;awake
2026-06-28T01:05:50.000Z;71;awake
2026-06-28T01:05:53.000Z;75;awake
2026-06-28T01:10:01.000Z;70;awake
2026-06-28T01:10:06.000Z;73;awake
2026-06-28T01:11:13.000Z;78;awake
2026-06-28T01:20:08.000Z;72;awake
2026-06-28T01:20:29.000Z;74;awake
2026-06-28T01:20:47.000Z;76;awake
2026-06-28T01:25:05.000Z;69;awake
2026-06-28T01:25:12.000Z;72;awake
2026-06-28T01:25:17.000Z;75;awake
2026-06-28T01:30:35.000Z;77;awake
2026-06-28T01:31:05.000Z;75;awake
2026-06-28T01:31:33.000Z;74;awake
2026-06-28T01:35:24.000Z;76;awake
2026-06-28T01:35:34.000Z;73;awake
2026-06-28T01:35:39.000Z;70;awake
2026-06-28T01:38:22.000Z;77;awake
2026-06-28T01:38:46.000Z;72;awake
2026-06-28T01:39:09.000Z;73;awake
